file,event_id,station,network,location,channel_used,instrument_type_used,pga_g,pgv_cms,snr_db,p_pick_time,s_pick_time,p_pick_confidence,s_pick_confidence,sampling_rate_hz,duration_sec,num_gaps,gap_fraction,is_clipped,has_three_components,response_removed_ok,usable_for_engineering,usable_for_phase_picking,qc_flags,sa_g_0_1s,sa_g_0_2s,sa_g_0_5s,sa_g_1_0s,sa_g_2_0s,arias_intensity_ms,cav_ms,duration_5_95_sec,fas_dominant_freq_hz,fas_mean_freq_hz
data/processed/waveforms/us10004dbv_CORM.mseed,us10004dbv,CORM,KO,,BHE,broadband,0.00388,0.1582,38.17,2016-01-10T17:41:01.260000Z,,0.564,,50.0,210.0,0,0.0,False,True,True,False,True,,0.0065,0.01297,0.00571,0.00205,0.00038,0.000139,0.1315,17.44,1.457,6.406
data/processed/waveforms/us10004dbv_KOZK.mseed,us10004dbv,KOZK,KO,,HNE,strong_motion,0.00627,0.258,22.13,2016-01-10T17:40:59.460000Z,,0.544,,100.0,180.0,0,0.0,False,True,True,True,True,,0.01111,0.01126,0.00601,0.00237,0.00048,0.000582,0.335,30.54,2.844,9.689
data/processed/waveforms/us10004dbv_YOZ.mseed,us10004dbv,YOZ,KO,,HHE,broadband,0.00354,0.153,38.9,2016-01-10T17:41:02.680000Z,,0.564,,100.0,210.0,0,0.0,True,True,True,False,True,clipping_şüphesi,0.00925,0.01441,0.00561,0.00125,0.00019,0.000182,0.1692,23.57,4.124,6.717
data/processed/waveforms/us10004fnv_BODT.mseed,us10004fnv,BODT,KO,,BHE,broadband,0.00015,0.0086,18.37,2016-01-19T19:05:03.900000Z,2016-01-19T19:05:18.900000Z,0.542,0.508,50.0,209.98,0,0.0,False,True,True,False,True,,0.0003,0.00021,7e-05,2e-05,0.0,0.0,0.0046,63.14,5.438,9.235
data/processed/waveforms/us10004fnv_DAT.mseed,us10004fnv,DAT,KO,,BHE,broadband,0.00016,0.0086,,,,,,50.0,210.0,0,0.0,False,True,True,False,False,,0.00055,0.00032,0.00019,6e-05,2e-05,0.0,0.0114,57.4,3.509,8.246
data/processed/waveforms/us10004fnv_DIDI.mseed,us10004fnv,DIDI,KO,,HNE,strong_motion,0.0003,0.0218,,,,,,100.0,210.0,0,0.0,False,True,True,True,False,,0.00042,0.00018,8e-05,6e-05,2e-05,1.6e-05,0.1164,187.12,35.503,25.512
data/processed/waveforms/us10004fnv_YKAV.mseed,us10004fnv,YKAV,KO,,HNE,strong_motion,6e-05,0.0112,,,,,,100.0,210.0,0,0.0,False,True,True,True,False,,0.00011,5e-05,0.00011,8e-05,2e-05,0.0,0.0094,174.19,48.426,20.936
data/processed/waveforms/us100062vt_BCA.mseed,us100062vt,BCA,KO,,BHE,broadband,0.0001,0.0022,,,,,,50.0,155.92,2,0.0005,False,True,True,False,False,has_gaps,0.0003,8e-05,1e-05,1e-05,1e-05,0.0,0.0049,51.14,10.985,9.868
data/processed/waveforms/us100062vt_HOPA.mseed,us100062vt,HOPA,KO,,HNE,strong_motion,0.00109,0.0393,,,,,,100.0,210.0,0,0.0,False,True,True,True,False,,0.0018,0.0033,0.00037,0.00014,4e-05,1.3e-05,0.0551,40.53,4.843,10.181
data/processed/waveforms/us100062vt_KARS.mseed,us100062vt,KARS,KO,,HHE,broadband,0.00043,0.0304,12.75,2016-07-12T10:14:22.480000Z,,0.33,,100.0,210.0,0,0.0,False,True,True,False,True,,0.00081,0.00194,0.00051,0.00033,0.00024,5e-06,0.0363,40.57,5.328,5.157
data/processed/waveforms/us100062vt_SENK.mseed,us100062vt,SENK,KO,,BHE,broadband,0.00019,0.0177,0.2,2016-07-12T10:14:57.880000Z,,0.051,,50.0,209.98,0,0.0,False,True,True,False,True,,0.00022,0.00047,0.00033,0.0002,6e-05,1e-06,0.0131,38.72,1.357,3.637
data/processed/waveforms/us100062vt_TASB.mseed,us100062vt,TASB,KO,,HHE,broadband,0.00044,0.0649,2.97,2016-07-12T10:14:51.350000Z,,0.107,,100.0,210.0,0,0.0,False,True,True,False,True,,0.00048,0.00095,0.00073,0.00069,0.0005,4e-06,0.0364,66.79,0.557,3.772
data/processed/waveforms/us10006ndm_BLCB.mseed,us10006ndm,BLCB,KO,,BHE,broadband,1e-05,0.0013,,,,,,50.0,209.98,0,0.0,False,True,True,False,False,,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0008,103.06,3.71,5.877
data/processed/waveforms/us10006ndm_BODT.mseed,us10006ndm,BODT,KO,,BHE,broadband,5e-05,0.005,16.94,2016-09-09T17:24:51.920000Z,2016-09-09T17:25:14.800000Z,0.543,0.44,50.0,210.0,0,0.0,False,True,True,False,True,,6e-05,9e-05,8e-05,3e-05,1e-05,0.0,0.0026,67.82,6.347,7.226
data/processed/waveforms/us10006ndm_FOCM.mseed,us10006ndm,FOCM,KO,,HNE,strong_motion,8e-05,0.0188,,,,,,100.0,210.0,0,0.0,False,True,True,True,False,,2e-05,1e-05,1e-05,1e-05,1e-05,1e-06,0.0199,187.16,0.005,32.73
data/processed/waveforms/us10006ndm_KRBN.mseed,us10006ndm,KRBN,KO,,HNE,strong_motion,0.00023,0.037,,,,,,100.0,210.0,0,0.0,False,True,True,True,False,,2e-05,2e-05,1e-05,1e-05,1e-05,3.4e-05,0.1895,187.86,45.645,43.099
data/processed/waveforms/us10006nzz_AKS.mseed,us10006nzz,AKS,KO,,HNE,strong_motion,0.05355,1.266,4.41,2016-09-12T08:26:07.310000Z,2016-09-12T08:26:08.930000Z,0.135,0.145,100.0,210.0,0,0.0,False,True,True,True,True,,0.1277,0.08699,0.02114,0.0053,0.00085,0.013414,0.6837,4.11,6.681,12.75
data/processed/waveforms/us10006nzz_BLCB.mseed,us10006nzz,BLCB,KO,,BHE,broadband,0.0015,0.0897,16.51,2016-09-12T08:26:19.320000Z,,0.321,,50.0,209.98,0,0.0,False,True,True,False,True,,0.00265,0.00609,0.00166,0.00029,9e-05,2.7e-05,0.0536,17.32,2.595,5.264
data/processed/waveforms/us10006nzz_DKL.mseed,us10006nzz,DKL,KO,,BHE,broadband,0.00085,0.069,10.65,2016-09-12T08:26:18.440000Z,2016-09-12T08:27:13.700000Z,0.375,0.009,50.0,209.98,0,0.0,False,True,True,False,True,,0.00135,0.00172,0.00104,0.00067,0.00028,9e-06,0.0409,28.16,2.662,5.851
data/processed/waveforms/us10006nzz_GOMA.mseed,us10006nzz,GOMA,KO,,HNE,strong_motion,0.00492,0.2445,,,,,,100.0,210.0,0,0.0,False,True,True,True,False,,0.00934,0.0172,0.00754,0.00217,0.00062,0.000189,0.1262,9.73,2.547,7.816
data/processed/waveforms/us10006td4_BODT.mseed,us10006td4,BODT,KO,,BHE,broadband,0.00426,0.2653,39.14,2016-09-27T20:57:24.020000Z,2016-09-27T20:57:35.980000Z,0.565,0.553,50.0,210.0,0,0.0,False,True,True,False,True,,0.00603,0.00931,0.0088,0.00303,0.00051,8.8e-05,0.0968,20.66,1.709,6.021
data/processed/waveforms/us10006td4_CAME.mseed,us10006td4,CAME,KO,,HNE,strong_motion,0.00321,0.1324,12.14,2016-09-27T20:57:34.650000Z,2016-09-27T20:57:53.970000Z,0.426,0.428,100.0,210.0,0,0.0,False,True,True,True,True,,0.00392,0.00911,0.00591,0.00098,0.00034,9.8e-05,0.1298,30.5,2.5,7.458
data/processed/waveforms/us10006td4_DALY.mseed,us10006td4,DALY,KO,,BHE,broadband,0.00312,0.2035,24.68,2016-09-27T20:57:28.220000Z,2016-09-27T20:57:41.880000Z,0.559,0.503,50.0,170.12,0,0.0,False,True,True,False,True,,0.00542,0.00785,0.0088,0.00232,0.00069,0.000171,0.1404,13.26,2.0,4.534
data/processed/waveforms/us10006td4_YER.mseed,us10006td4,YER,KO,,BHE,broadband,0.00149,0.0962,15.72,2016-09-27T20:57:27.760000Z,2016-09-27T20:57:41.140000Z,0.526,0.349,50.0,210.0,0,0.0,False,True,True,False,True,,0.00257,0.00308,0.00287,0.00101,0.00035,4.1e-05,0.084,32.64,1.971,6.526
data/processed/waveforms/us10007vdu_DALY.mseed,us10007vdu,DALY,KO,,BHE,broadband,0.00053,0.0358,10.37,2017-01-25T18:51:30.000000Z,2017-01-25T18:51:57.840000Z,0.191,0.179,50.0,210.0,0,0.0,False,True,True,False,True,,0.00091,0.00107,0.00127,0.00042,7e-05,8e-06,0.0435,43.58,2.195,5.341
