event_id,station,network,location,channel_used,instrument_type_used,event_latitude,event_longitude,depth_km,station_latitude,station_longitude,epicentral_distance_km,hypocentral_distance_km,magnitude,mag_type,mw_estimate,time_utc,pga_g,pgv_cms,snr_db,vs30_ms,nehrp_site_class,has_strong_motion,sa_g_0_1s,sa_g_0_2s,sa_g_0_5s,sa_g_1_0s,sa_g_2_0s,arias_intensity_ms,cav_ms,duration_5_95_sec,fas_dominant_freq_hz,fas_mean_freq_hz,p_pick_time,s_pick_time,p_pick_confidence,s_pick_confidence,response_removed_ok,usable_for_engineering,usable_for_phase_picking,qc_flags,file
quakeml:eu.emsc/event/20151009_0000101,CLDR,KO,,BHE,broadband,39.11,43.71,2.0,39.144,43.9172,18.27,18.38,4.8,mb,,2015-10-09 09:46:40.800000+00:00,4e-05,0.0007,,296.0,D,False,1e-05,0.0,0.0,0.0,0.0,0.0,0.0095,143.62,16.079,16.322,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000101_CLDR.mseed
quakeml:eu.emsc/event/20151009_0000101,ERCV,KO,,HNE,strong_motion,39.11,43.71,2.0,39.0198,43.3381,33.64,33.7,4.8,mb,,2015-10-09 09:46:40.800000+00:00,0.00098,0.0469,,344.0,D,True,0.00382,0.00037,4e-05,3e-05,3e-05,2.8e-05,0.1192,111.2,8.604,15.949,,,,,True,False,False,has_gaps,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000101_ERCV.mseed
quakeml:eu.emsc/event/20151009_0000101,VANB,KO,,HHE,broadband,39.11,43.71,2.0,38.509,43.4056,71.84,71.87,4.8,mb,,2015-10-09 09:46:40.800000+00:00,0.0,0.0001,,548.0,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,181.45,2.481,14.633,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000101_VANB.mseed
quakeml:eu.emsc/event/20151009_0000101,AGRB,KO,,HHE,broadband,39.11,43.71,2.0,39.5755,42.992,80.57,80.59,4.8,mb,,2015-10-09 09:46:40.800000+00:00,1e-05,0.0004,,474.0,C,False,1e-05,0.0,0.0,0.0,0.0,0.0,0.0005,79.51,21.77,25.163,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000101_AGRB.mseed
quakeml:eu.emsc/event/20151009_0000101,MLAZ,KO,,HHE,broadband,39.11,43.71,2.0,39.141,42.5496,100.16,100.18,4.8,mb,,2015-10-09 09:46:40.800000+00:00,2e-05,0.0051,,386.0,C,False,2e-05,1e-05,1e-05,0.0,0.0,0.0,0.0028,176.69,39.122,25.404,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000101_MLAZ.mseed
quakeml:eu.emsc/event/20151009_0000101,TASB,KO,,HHE,broadband,39.11,43.71,2.0,39.9838,44.2384,107.21,107.23,4.8,mb,,2015-10-09 09:46:40.800000+00:00,1e-05,0.0002,,228.0,D,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,176.9,28.007,23.402,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000101_TASB.mseed
quakeml:eu.emsc/event/20170721_0000092,DAT,KO,,BHE,broadband,36.89,27.66,2.0,36.7308,27.5767,19.19,19.29,4.6,mw,4.6,2017-07-21 05:05:24.800000+00:00,0.00419,0.1203,11.2,789.0,B,False,0.00833,0.00743,0.00152,0.0003,8e-05,9.9e-05,0.0764,5.34,5.523,10.379,2017-07-21T05:05:30.820000Z,,0.355,,True,False,True,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20170721_0000092_DAT.mseed
quakeml:eu.emsc/event/20170721_0000092,MLSB,KO,,BHE,broadband,36.89,27.66,2.0,37.2953,27.7767,46.24,46.28,4.6,mw,4.6,2017-07-21 05:05:24.800000+00:00,8e-05,0.0039,,571.0,C,False,0.00022,0.00013,7e-05,1e-05,0.0,0.0,0.0034,49.12,5.961,8.656,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20170721_0000092_MLSB.mseed
quakeml:eu.emsc/event/20170721_0000092,YER,KO,,BHE,broadband,36.89,27.66,2.0,37.1336,28.284,61.67,61.7,4.6,mw,4.6,2017-07-21 05:05:24.800000+00:00,0.00023,0.0059,,494.0,C,False,0.00039,0.00055,8e-05,2e-05,2e-05,0.0,0.0082,16.14,5.685,9.536,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20170721_0000092_YER.mseed
quakeml:eu.emsc/event/20170721_0000092,DALY,KO,,BHE,broadband,36.89,27.66,2.0,36.8162,28.6532,88.75,88.77,4.6,mw,4.6,2017-07-21 05:05:24.800000+00:00,8e-05,0.0035,,458.0,C,False,0.00016,0.00025,9e-05,3e-05,1e-05,0.0,0.0049,41.22,4.623,6.041,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20170721_0000092_DALY.mseed
quakeml:eu.emsc/event/20171019_0000126,SEYD,KO,,HNE,strong_motion,37.35,31.4,407.0,37.4056,31.8379,39.18,408.88,4.5,mb,,2017-10-19 16:21:12.900000+00:00,5e-05,0.0142,,382.0,C,True,1e-05,1e-05,1e-05,1e-05,0.0,1e-06,0.0219,184.87,49.46,42.492,,,,,True,False,False,clipping_şüphesi,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20171019_0000126_SEYD.mseed
quakeml:eu.emsc/event/20171019_0000126,BCK,KO,,BHE,broadband,37.35,31.4,407.0,37.4602,30.5885,72.72,413.45,4.5,mb,,2017-10-19 16:21:12.900000+00:00,1e-05,0.0002,,567.0,C,True,1e-05,0.0,0.0,0.0,0.0,0.0,0.0024,180.02,1.509,16.467,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20171019_0000126_BCK.mseed
quakeml:eu.emsc/event/20171019_0000126,ANTB,KO,,BHE,broadband,37.35,31.4,407.0,36.8998,30.6538,82.96,415.37,4.5,mb,,2017-10-19 16:21:12.900000+00:00,0.00012,0.0047,,363.0,C,False,2e-05,0.0,0.0,0.0,0.0,4e-06,0.0548,169.94,18.246,17.597,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20171019_0000126_ANTB.mseed
quakeml:eu.emsc/event/20171019_0000126,KONT,KO,,BHE,broadband,37.35,31.4,407.0,37.957,32.3563,107.9,421.06,4.5,mb,,2017-10-19 16:21:12.900000+00:00,0.0,0.0,,572.0,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,169.78,12.561,14.421,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20171019_0000126_KONT.mseed
quakeml:eu.emsc/event/20180814_0000155,SNOP,KO,,BHE,broadband,42.8233,35.3448,10.0,42.0195,35.2069,90.09,90.64,4.5,m,,2018-08-14 12:24:07.200000+00:00,0.0,0.001,,561.0,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,177.76,22.688,14.886,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20180814_0000155_SNOP.mseed
quakeml:eu.emsc/event/20180814_0000155,SINP,KO,,HNE,strong_motion,42.8233,35.3448,10.0,41.9824,35.0956,95.72,96.24,4.5,m,,2018-08-14 12:24:07.200000+00:00,0.00013,0.0067,,276.0,D,True,0.00016,0.00019,1e-05,1e-05,1e-05,0.0,0.0161,183.7,14.666,21.804,,,,,True,True,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20180814_0000155_SINP.mseed
quakeml:eu.emsc/event/20180814_0000155,DIKM,KO,,BHE,broadband,42.8233,35.3448,10.0,41.6497,35.2578,130.69,131.07,4.5,m,,2018-08-14 12:24:07.200000+00:00,0.0,0.0001,,671.0,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,184.44,20.26,12.36,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20180814_0000155_DIKM.mseed
quakeml:eu.emsc/event/20180814_0000155,BZK,KO,,BHE,broadband,42.8233,35.3448,10.0,41.96,34.0035,146.11,146.45,4.5,m,,2018-08-14 12:24:07.200000+00:00,0.0,0.0002,,871.0,B,False,1e-05,0.0,0.0,0.0,0.0,0.0,0.0006,159.76,15.127,13.001,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20180814_0000155_BZK.mseed
quakeml:eu.emsc/event/20191212_0000017,DAT,KO,,BHE,broadband,35.17,26.19,3.0,36.7308,27.5767,213.77,213.79,4.9,mb,,2019-12-12 03:05:44.800000+00:00,0.00019,0.0075,,789.0,B,False,0.0002,0.00055,0.00021,0.0001,3e-05,1e-06,0.0153,53.44,1.295,7.154,,,,,True,False,False,clipping_şüphesi,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20191212_0000017_DAT.mseed
quakeml:eu.emsc/event/20191212_0000017,DATC,KO,,HNE,strong_motion,35.17,26.19,3.0,36.7584,27.6602,220.68,220.7,4.9,mb,,2019-12-12 03:05:44.800000+00:00,0.00172,0.0371,,436.0,C,True,0.00497,0.0009,0.00033,0.00022,9e-05,0.000212,0.3819,161.42,7.466,19.448,,,,,True,True,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20191212_0000017_DATC.mseed
quakeml:eu.emsc/event/20191212_0000017,BODT,KO,,BHE,broadband,35.17,26.19,3.0,37.0622,27.3103,233.22,233.24,4.9,mb,,2019-12-12 03:05:44.800000+00:00,4e-05,0.0042,,464.0,C,False,5e-05,0.00012,0.00014,5e-05,2e-05,0.0,0.0072,70.92,1.676,5.163,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20191212_0000017_BODT.mseed
quakeml:eu.emsc/event/20191212_0000017,DIDI,KO,,HNE,strong_motion,35.17,26.19,3.0,37.3767,27.2398,262.8,262.82,4.9,mb,,2019-12-12 03:05:44.800000+00:00,0.00046,0.0128,,316.0,D,True,0.00073,0.00031,0.00011,9e-05,7e-05,7.5e-05,0.2657,182.96,13.104,21.954,,,,,True,True,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20191212_0000017_DIDI.mseed
quakeml:eu.emsc/event/20201030_0000093,CESE,KO,,HNE,strong_motion,38.01,26.56,17.0,38.3306,26.2997,42.29,45.58,4.8,ml,4.54,2020-10-30 11:56:04+00:00,0.00079,0.1483,,410.0,C,True,0.00152,0.00302,0.00069,0.00055,0.00021,1.7e-05,0.1081,160.69,0.181,16.524,,,,,True,True,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20201030_0000093_CESE.mseed
quakeml:eu.emsc/event/20201030_0000093,BLCB,KO,,BHE,broadband,38.01,26.56,17.0,38.3853,27.042,59.29,61.68,4.8,ml,4.54,2020-10-30 11:56:04+00:00,0.0039,0.2175,3.73,646.0,C,False,0.00506,0.01313,0.00294,0.00039,0.00023,0.000189,0.2482,129.26,3.785,6.1,2020-10-30T11:56:05.060000Z,,0.08,,True,False,True,clipping_şüphesi,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20201030_0000093_BLCB.mseed
