event_id,station,phase_type,phase_hint,pick_time,source,fetched_at
us6000jlrq,SARI,P,Pg,2023-02-06T12:54:49.350000Z,isc_analyst,2026-09-13T08:56:30.947674+00:00
us6000jlrv,SARI,S,Sg,2023-02-06T13:08:12.560000Z,isc_analyst,2026-09-13T08:56:37.082292+00:00
us6000jlrv,SARI,P,Pg,2023-02-06T13:08:01.230000Z,isc_analyst,2026-09-13T08:56:37.082308+00:00
us6000jls0,SARI,P,Pg,2023-02-06T13:17:49.700000Z,isc_analyst,2026-09-13T08:56:43.422875+00:00
us6000jls0,SARI,S,Sg,2023-02-06T13:17:54.940000Z,isc_analyst,2026-09-13T08:56:43.422891+00:00
us6000jls6,GAZ,P,Pg,2023-02-06T13:45:06.180000Z,isc_analyst,2026-09-13T08:56:51.932144+00:00
us6000jls6,GAZ,S,Sg,2023-02-06T13:45:17.250000Z,isc_analyst,2026-09-13T08:56:51.932164+00:00
us6000jlsb,GAZ,P,Pg,2023-02-06T14:10:20.990000Z,isc_analyst,2026-09-13T08:56:54.862651+00:00
us6000jlse,GAZ,S,Sg,2023-02-06T14:28:04.710000Z,isc_analyst,2026-09-13T08:56:57.966968+00:00
us6000jlse,GAZ,P,Pg,2023-02-06T14:27:55.630000Z,isc_analyst,2026-09-13T08:56:57.966983+00:00
us6000jlsf,SARI,P,Pg,2023-02-06T14:30:05.610000Z,isc_analyst,2026-09-13T08:57:00.990408+00:00
us6000jlsf,SARI,S,Sg,2023-02-06T14:30:10.970000Z,isc_analyst,2026-09-13T08:57:00.990426+00:00
us6000jlsg,GAZ,P,Pg,2023-02-06T06:26:33.200000Z,isc_analyst,2026-09-13T08:57:04.163925+00:00
us6000jlsg,GAZ,S,Sg,2023-02-06T06:26:36.280000Z,isc_analyst,2026-09-13T08:57:04.163939+00:00
us6000jlt1,SARI,S,Sg,2023-02-06T16:26:52.580000Z,isc_analyst,2026-09-13T08:57:23.965139+00:00
us6000jlt1,SARI,P,Pg,2023-02-06T16:26:46.790000Z,isc_analyst,2026-09-13T08:57:23.965155+00:00
us6000jlt5,SARI,P,Pg,2023-02-06T16:28:29.060000Z,isc_analyst,2026-09-13T08:57:28.474817+00:00
us6000jlt7,GAZ,S,Sg,2023-02-06T16:32:37.780000Z,isc_analyst,2026-09-13T08:57:32.348465+00:00
us6000jlt7,GAZ,P,Pg,2023-02-06T16:32:26.020000Z,isc_analyst,2026-09-13T08:57:32.348481+00:00
us6000jlta,SARI,P,Pg,2023-02-06T16:43:35.720000Z,isc_analyst,2026-09-13T08:57:36.934680+00:00
us6000jlta,SARI,S,Sg,2023-02-06T16:43:41.890000Z,isc_analyst,2026-09-13T08:57:36.934697+00:00
us6000jlwh,SARI,S,Sg,2023-02-06T17:26:36.860000Z,isc_analyst,2026-09-13T08:57:43.461555+00:00
us6000jlwh,SARI,P,Pg,2023-02-06T17:26:31.750000Z,isc_analyst,2026-09-13T08:57:43.461571+00:00
us6000jm1p,SARI,S,Sg,2023-02-06T18:04:07.600000Z,isc_analyst,2026-09-13T08:57:55.109065+00:00
us6000jm1p,SARI,P,Pg,2023-02-06T18:04:01.100000Z,isc_analyst,2026-09-13T08:57:55.109083+00:00
us6000jm29,SARI,S,Sg,2023-02-06T20:05:46.730000Z,isc_analyst,2026-09-13T08:58:12.413800+00:00
us6000jm29,BNN,S,Sn,2023-02-06T20:06:05.080000Z,isc_analyst,2026-09-13T08:58:12.413821+00:00
us6000jm29,SARI,P,Pg,2023-02-06T20:05:41.730000Z,isc_analyst,2026-09-13T08:58:12.413827+00:00
us6000jm2r,GAZ,P,Pg,2023-02-06T20:37:54.700000Z,isc_analyst,2026-09-13T08:58:18.721282+00:00
us6000jm2t,SARI,S,Sg,2023-02-06T20:44:15.880000Z,isc_analyst,2026-09-13T08:58:22.940323+00:00
us6000jm2t,SARI,P,Pg,2023-02-06T20:44:08.950000Z,isc_analyst,2026-09-13T08:58:22.940342+00:00
us6000jm2x,GAZ,P,Pg,2023-02-06T21:02:20.240000Z,isc_analyst,2026-09-13T08:58:32.744917+00:00
us6000jm2x,GAZ,S,Sg,2023-02-06T21:02:30.630000Z,isc_analyst,2026-09-13T08:58:32.744935+00:00
us6000jm2x,KMRS,P,Pn,2023-02-06T21:02:22.360000Z,isc_analyst,2026-09-13T08:58:32.744941+00:00
us6000jm2x,KMRS,S,Sn,2023-02-06T21:02:34.350000Z,isc_analyst,2026-09-13T08:58:32.744945+00:00
us6000jm30,SARI,P,Pg,2023-02-06T21:15:28.660000Z,isc_analyst,2026-09-13T08:58:37.800095+00:00
us6000jm30,SARI,S,Sg,2023-02-06T21:15:37.830000Z,isc_analyst,2026-09-13T08:58:37.800120+00:00
us6000jm3c,SARI,P,Pg,2023-02-06T21:57:50.780000Z,isc_analyst,2026-09-13T08:58:43.059645+00:00
us6000jm3c,SARI,S,Sg,2023-02-06T21:57:55.990000Z,isc_analyst,2026-09-13T08:58:43.059663+00:00
us6000jm3c,KMRS,P,Pg,2023-02-06T21:57:55.020000Z,isc_analyst,2026-09-13T08:58:43.059699+00:00
us6000jm4n,GAZ,S,Sg,2023-02-06T01:51:53.560000Z,isc_analyst,2026-09-13T08:58:48.873177+00:00
us6000jm4n,GAZ,P,Pg,2023-02-06T01:51:49.370000Z,isc_analyst,2026-09-13T08:58:48.873192+00:00
us6000jm4u,GURO,P,Pn,2023-02-06T01:48:04.580000Z,isc_analyst,2026-09-13T08:58:51.297464+00:00
us6000jm4u,GURO,S,Sn,2023-02-06T01:48:22.500000Z,isc_analyst,2026-09-13T08:58:51.297484+00:00
us6000jm5c,KMRS,P,Pg,2023-02-07T03:09:10.230000Z,isc_analyst,2026-09-13T08:58:59.037758+00:00
us6000jm5c,KMRS,S,Sg,2023-02-07T03:09:19.620000Z,isc_analyst,2026-09-13T08:58:59.037775+00:00
us6000jm5e,GAZ,P,Pg,2023-02-07T03:13:26.800000Z,isc_analyst,2026-09-13T08:59:06.299332+00:00
us6000jm5e,GAZ,S,Sg,2023-02-07T03:13:36.210000Z,isc_analyst,2026-09-13T08:59:06.299352+00:00
us6000jm69,SARI,P,Pg,2023-02-07T06:41:01.040000Z,isc_analyst,2026-09-13T08:59:09.360403+00:00
us6000jm69,SARI,S,Sg,2023-02-07T06:41:06.980000Z,isc_analyst,2026-09-13T08:59:09.360421+00:00
us6000jm69,KMRS,P,Pg,2023-02-07T06:41:05.120000Z,isc_analyst,2026-09-13T08:59:09.360427+00:00
