network,station,location,channel,instrument_type,latitude,longitude,sample_rate_hz,start_date,end_date
KO,BALB,,HHN,broadband,39.6507,27.8642,100.0,2013-11-08T14:00:00.000000Z,2023-04-11T07:50:00.000000Z
KO,BALB,,HHZ,broadband,39.6507,27.8642,100.0,2013-11-08T14:00:00.000000Z,2023-04-11T07:50:00.000000Z
KO,BALB,,HNE,strong_motion,39.6507,27.8642,100.0,2023-04-11T07:50:00.000000Z,
KO,BALB,,HNN,strong_motion,39.6507,27.8642,100.0,2023-04-11T07:50:00.000000Z,
KO,BALB,,HNZ,strong_motion,39.6507,27.8642,100.0,2023-04-11T07:50:00.000000Z,
KO,BALB,,EHE,broadband,39.6507,27.8642,100.0,2023-04-11T07:50:00.000000Z,
KO,BALB,,EHN,broadband,39.6507,27.8642,100.0,2023-04-11T07:50:00.000000Z,
KO,BALB,,EHZ,broadband,39.6507,27.8642,100.0,2023-04-11T07:50:00.000000Z,
KO,KOZT,,BHE,broadband,37.4795,35.8264,20.0,2005-08-25T00:00:00.000000Z,2005-12-26T14:00:00.000000Z
KO,KOZT,,BHN,broadband,37.4795,35.8264,20.0,2005-08-25T00:00:00.000000Z,2005-12-26T14:00:00.000000Z
KO,KOZT,,BHZ,broadband,37.4795,35.8264,20.0,2005-08-25T00:00:00.000000Z,2005-12-26T14:00:00.000000Z
KO,KOZT,,BHE,broadband,37.4795,35.8264,50.0,2005-12-26T14:00:00.000000Z,2007-11-22T00:00:00.000000Z
KO,KOZT,,BHN,broadband,37.4795,35.8264,50.0,2005-12-26T14:00:00.000000Z,2007-11-22T00:00:00.000000Z
KO,KOZT,,BHZ,broadband,37.4795,35.8264,50.0,2005-12-26T14:00:00.000000Z,2007-11-22T00:00:00.000000Z
KO,KOZT,,BHE,broadband,37.4795,35.8264,50.0,2007-11-22T00:00:00.000000Z,2022-11-29T10:00:00.000000Z
KO,KOZT,,BHN,broadband,37.4795,35.8264,50.0,2007-11-22T00:00:00.000000Z,2022-11-29T10:00:00.000000Z
KO,KOZT,,BHZ,broadband,37.4795,35.8264,50.0,2007-11-22T00:00:00.000000Z,2022-11-29T10:00:00.000000Z
KO,KOZT,,HHE,broadband,37.4795,35.8264,100.0,2022-11-29T10:00:00.000000Z,
KO,KOZT,,HHN,broadband,37.4795,35.8264,100.0,2022-11-29T10:00:00.000000Z,
KO,KOZT,,HHZ,broadband,37.4795,35.8264,100.0,2022-11-29T10:00:00.000000Z,
KO,BODT,,BHE,broadband,37.0622,27.3103,20.0,2005-02-14T00:00:00.000000Z,2006-01-03T07:00:00.000000Z
KO,BODT,,BHN,broadband,37.0622,27.3103,20.0,2005-02-14T00:00:00.000000Z,2006-01-03T07:00:00.000000Z
