network,station,latitude,longitude,elevation,start_date,channel_codes,instrument_types,has_strong_motion,vs30_ms,nehrp_site_class
KO,BOZY,36.1069,32.9763,9.0,2011-07-29T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,276.0,D
KO,CRLU,41.1428,27.8215,126.0,2022-12-15T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,392.0,C
KO,ARPRA,39.0929,38.3356,1522.0,2013-09-06T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,773.0,B
KO,CANT,40.6062,33.6193,815.0,2000-02-10T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,583.0,C
KO,MLSB,37.2953,27.7767,500.0,2003-09-16T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,571.0,C
KO,SVAN,38.1511,41.1984,650.0,2009-12-12T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,571.0,C
KO,PTK,38.8923,39.3923,1835.0,2004-08-31T00:00:00.000000Z,"BHE,BHN,BHZ",broadband,False,456.0,C
KO,TASB,39.9838,44.2384,849.0,2011-10-25T00:00:00.000000Z,"HHE,HHN,HHZ",broadband,False,228.0,D
KO,MRSB,36.7161,28.1969,402.0,2011-04-25T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,732.0,C
KO,SULT,38.1988,33.5157,982.0,2008-01-04T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,324.0,D
KO,MERS,36.8678,34.522,750.0,2005-08-23T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,861.0,B
KO,GMLD,38.0766,26.9157,10.0,2011-07-05T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,289.0,D
KO,MDNY,40.3709,28.8846,116.0,2008-07-09T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ","broadband,strong_motion",True,571.0,C
KO,KLYT,41.253,29.042,30.0,2006-05-18T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,436.0,C
KO,RUZG,40.7242,31.7936,1567.0,2019-12-19T00:00:00.000000Z,"HHE,HHN,HHZ",broadband,False,597.0,C
KO,KHMN,37.3916,37.1574,640.0,2012-11-29T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,272.0,D
KO,KYHL,40.3244,37.8955,1568.0,2020-12-12T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,900.0,B
KO,YER,37.1336,28.284,729.0,2000-07-06T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,494.0,C
KO,HRTX,40.8009,29.6729,573.0,1998-09-01T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,700.0,C
KO,CAND,38.9542,26.8031,157.0,2011-07-11T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,568.0,C
KO,CUKT,37.2473,43.6077,1298.0,2005-09-29T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ","broadband,strong_motion",True,900.0,B
